"sf__Id","sf__Created",Id,Well_Type__c,Status__c,Production_Status__c,Total_Oil_Volume_12M__c,Total_Depth__c,True_Vertical_Depth__c,Formation__c,Spud_Date__c,Completion_Date__c,Last_Production_Date__c,Regulatory_District__c,API_Number__c
"a0Qak00000ktCipEAE","false","a0Qak00000ktCipEAE","Gas","Permitted","Artificial Lift","3310.68","3902.66","3309.81","Eagle Ford","2025-05-30","2026-04-11","","PRD-07","92-910-53054-59"
"a0Qak00000ktCbtEAE","false","a0Qak00000ktCbtEAE","Water Disposal","Permitted","Flowing","69022.18","12588.41","9619.92","Utica","2026-03-17","2026-05-26","","PRD-01","42-320-29597-68"
"a0Qak00000ktCflEAE","false","a0Qak00000ktCflEAE","Oil","Drilling","Flowing","65644.27","9646.23","8135.5","Wolfcamp","2025-08-19","2025-11-26","2026-06-28","PRD-08","14-400-36422-73"
"a0Qak00000ktCdYEAU","false","a0Qak00000ktCdYEAU","Water Disposal","Permitted","Flowing","65372.69","12040.38","8128.46","Utica","2024-11-04","2025-08-12","","PRD-04","25-238-19706-81"
"a0Qak00000ktCcgEAE","false","a0Qak00000ktCcgEAE","Oil","Permitted","Flowing","76586.4","10188.98","7126.34","Eagle Ford","2025-05-10","2025-09-17","","PRD-05","26-740-49691-87"
"a0Qak00000ktCiDEAU","false","a0Qak00000ktCiDEAU","Injection","Drilling","Flowing","4708.03","4079.36","3388.14","Bone Spring","2025-07-08","2026-01-26","2026-06-04","PRD-01","13-183-15958-88"
"a0Qak00000ktCiEEAU","false","a0Qak00000ktCiEEAU","Injection","Permitted","Flowing","299.57","6077.24","4676.36","Marcellus","2025-04-28","2026-04-03","","PRD-03","50-982-51853-90"
"a0Qak00000ktCcmEAE","false","a0Qak00000ktCcmEAE","Water Disposal","Permitted","Artificial Lift","42178.76","14626.86","13395.41","Tuscaloosa","2024-08-09","2025-06-30","","PRD-06","34-881-30885-92"
"a0Qak00000ktCfkEAE","false","a0Qak00000ktCfkEAE","Oil","Permitted","Flowing","72139.92","9973.7","6298.56","Woodford","2024-04-10","2024-12-30","","PRD-04","37-697-56254-93"
"a0Qak00000ktChJEAU","false","a0Qak00000ktChJEAU","Water Disposal","Drilling","Shut-In","447.3","7018.93","5526.03","Bone Spring","2026-02-21","2026-06-20","2026-06-17","PRD-03","14-956-62034-108"
"a0Qak00000ktCheEAE","false","a0Qak00000ktCheEAE","Injection","Permitted","Flowing","1181.51","7674.5","5854.79","Permian Basin","2025-06-04","2026-03-18","","PRD-05","98-220-93717-113"
"a0Qak00000ktCibEAE","false","a0Qak00000ktCibEAE","Oil","Permitted","Flowing","4376.04","8358.43","5109.31","Wolfcamp","2025-04-04","2026-03-14","","PRD-01","40-311-18819-121"
"a0Qak00000ktCcNEAU","false","a0Qak00000ktCcNEAU","Gas","Drilling","Flowing","62098.01","6904.82","4791.68","Wolfcamp","2023-10-17","2024-09-19","2026-06-29","PRD-02","34-923-87015-127"
"a0Qak00000ktCg5EAE","false","a0Qak00000ktCg5EAE","Gas","Permitted","Flowing","69539.45","5743.3","5090.28","Bakken","2025-09-26","2026-05-25","","PRD-03","90-336-18908-133"
"a0Qak00000ktCcREAU","false","a0Qak00000ktCcREAU","Injection","Drilling","Artificial Lift","36532.59","14773.29","13899.36","Monterey","2024-10-17","2024-12-07","2026-06-23","PRD-04","98-680-72324-138"
"a0Qak00000ktCdiEAE","false","a0Qak00000ktCdiEAE","Injection","Drilling","Flowing","29829.0","10530.38","7701.91","Permian Basin","2023-08-10","2024-07-04","2026-06-09","PRD-07","20-890-91083-142"
"a0Qak00000ktCiLEAU","false","a0Qak00000ktCiLEAU","Gas","Drilling","Flowing","4918.04","7742.3","5728.27","Spraberry","2025-07-30","2026-04-06","2026-06-27","PRD-01","22-364-39098-153"
"a0Qak00000ktCiKEAU","false","a0Qak00000ktCiKEAU","Injection","Drilling","Artificial Lift","4829.58","5193.83","3822.78","Woodford","2025-11-03","2026-01-30","2026-06-19","PRD-06","68-732-32613-159"
"a0Qak00000ktCccEAE","false","a0Qak00000ktCccEAE","Oil","Drilling","Flowing","29205.23","9251.55","7934.09","Wolfcamp","2025-03-22","2025-09-20","2026-06-03","PRD-01","67-369-55688-165"
"a0Qak00000ktCgtEAE","false","a0Qak00000ktCgtEAE","Gas","Drilling","Artificial Lift","52054.83","10322.81","8350.12","Permian Basin","2025-01-06","2025-07-04","2026-06-21","PRD-05","75-795-22481-167"
"a0Qak00000ktCblEAE","false","a0Qak00000ktCblEAE","Water Disposal","Permitted","Artificial Lift","74719.97","14924.86","13484.11","Permian Basin","2025-08-12","2026-01-16","","PRD-03","51-948-42447-168"
"a0Qak00000ktCj1EAE","false","a0Qak00000ktCj1EAE","Water Disposal","Drilling","Artificial Lift","2909.78","9082.35","8142.4","Eagle Ford","2025-03-14","2026-03-04","2026-06-09","PRD-06","18-914-80048-170"
"a0Qak00000ktCidEAE","false","a0Qak00000ktCidEAE","Injection","Permitted","Artificial Lift","1059.26","4879.76","4342.6","Niobrara","2025-03-21","2026-02-09","","PRD-03","82-972-73614-171"
"a0Qak00000ktCeZEAU","false","a0Qak00000ktCeZEAU","Oil","Drilling","Artificial Lift","42900.01","5911.99","3744.15","Marcellus","2024-11-20","2025-01-28","2026-06-26","PRD-04","76-796-68335-174"
"a0Qak00000ktCiMEAU","false","a0Qak00000ktCiMEAU","Gas","Permitted","Flowing","1913.61","8693.58","7877.03","Wolfcamp","2025-09-26","2026-01-07","","PRD-02","77-676-11110-176"
"a0Qak00000ktCg7EAE","false","a0Qak00000ktCg7EAE","Oil","Drilling","Flowing","54450.25","6886.47","5076.11","Wolfcamp","2025-11-05","2026-04-06","2026-06-15","PRD-07","24-346-75481-179"
"a0Qak00000ktCikEAE","false","a0Qak00000ktCikEAE","Oil","Drilling","Flowing","1078.71","9458.06","8815.27","Woodford","2025-08-28","2026-02-20","2026-06-10","PRD-07","64-818-62727-181"
"a0Qak00000ktChrEAE","false","a0Qak00000ktChrEAE","Oil","Drilling","Artificial Lift","763.4","3585.18","2250.27","Monterey","2026-01-19","2026-05-08","2026-06-13","PRD-06","60-700-93138-182"
"a0Qak00000ktCj3EAE","false","a0Qak00000ktCj3EAE","Injection","Permitted","Artificial Lift","4767.14","4670.46","3201.92","Monterey","2025-12-11","2026-03-10","","PRD-08","88-723-17212-183"
"a0Qak00000ktChVEAU","false","a0Qak00000ktChVEAU","Injection","Permitted","Flowing","1864.04","6514.29","5965.0","Permian Basin","2025-07-13","2026-05-03","","PRD-01","61-170-70960-189"
"a0Qak00000ktCfEEAU","false","a0Qak00000ktCfEEAU","Injection","Drilling","Artificial Lift","43036.02","11536.35","9373.99","Woodford","2025-10-26","2025-12-22","2026-06-27","PRD-06","36-294-63645-215"
"a0Qak00000ktCc7EAE","false","a0Qak00000ktCc7EAE","Oil","Drilling","Artificial Lift","71367.28","13210.17","10308.48","Permian Basin","2025-09-17","2026-03-25","2026-06-08","PRD-07","27-899-78719-228"
"a0Qak00000ktCilEAE","false","a0Qak00000ktCilEAE","Injection","Drilling","Artificial Lift","1413.38","7790.89","5988.14","Niobrara","2025-04-28","2026-04-20","2026-06-20","PRD-05","43-771-95389-234"
"a0Qak00000ktCjWEAU","false","a0Qak00000ktCjWEAU","Water Disposal","Drilling","Shut-In","1297.13","5929.96","4363.84","Bakken","2025-03-15","2026-01-31","2026-06-04","PRD-04","53-843-39145-236"
"a0Qak00000ktCbdEAE","false","a0Qak00000ktCbdEAE","Oil","Drilling","Flowing","34393.12","5540.62","4980.93","Permian Basin","2025-04-16","2025-11-07","2026-06-17","PRD-08","28-423-33639-240"
"a0Qak00000ktChxEAE","false","a0Qak00000ktChxEAE","Gas","Permitted","Artificial Lift","2147.05","6003.18","4604.98","Bakken","2025-08-21","2026-06-20","","PRD-04","57-114-52233-242"
"a0Qak00000ktCcyEAE","false","a0Qak00000ktCcyEAE","Water Disposal","Drilling","Flowing","56620.87","12712.5","10400.06","Utica","2026-01-17","2026-04-12","2026-06-10","PRD-01","16-806-25176-246"
"a0Qak00000ktCcqEAE","false","a0Qak00000ktCcqEAE","Gas","Drilling","Artificial Lift","78252.78","8579.22","6377.92","Permian Basin","2025-06-15","2026-04-21","2026-06-15","PRD-04","98-592-53332-249"
"a0Qak00000ktCeMEAU","false","a0Qak00000ktCeMEAU","Gas","Permitted","Flowing","40071.51","13506.72","11885.44","Wolfcamp","2025-09-16","2025-12-12","","PRD-03","99-843-17686-253"
"a0Qak00000ktCjUEAU","false","a0Qak00000ktCjUEAU","Oil","Drilling","Artificial Lift","4437.97","6084.82","3785.78","Wolfcamp","2026-03-05","2026-04-10","2026-06-08","PRD-04","95-994-54341-255"
"a0Qak00000ktCeqEAE","false","a0Qak00000ktCeqEAE","Water Disposal","Drilling","Flowing","57799.69","14561.9","9423.33","Barnett","2025-07-30","2026-05-27","2026-06-07","PRD-01","80-543-86692-263"
"a0Qak00000ktChIEAU","false","a0Qak00000ktChIEAU","Gas","Permitted","Flowing","283.02","4868.85","4259.93","Haynesville","2025-08-01","2026-01-06","","PRD-03","17-807-48684-268"
"a0Qak00000ktCepEAE","false","a0Qak00000ktCepEAE","Oil","Permitted","Artificial Lift","57096.11","12551.08","9931.86","Utica","2025-07-05","2025-11-11","","PRD-05","67-281-99477-271"
"a0Qak00000ktCfHEAU","false","a0Qak00000ktCfHEAU","Water Disposal","Permitted","Artificial Lift","35860.91","14159.32","13178.73","Woodford","2024-11-09","2025-09-11","","PRD-05","13-629-59146-276"
"a0Qak00000ktCj0EAE","false","a0Qak00000ktCj0EAE","Water Disposal","Drilling","Flowing","437.6","3379.88","2967.45","Fayetteville","2025-07-22","2026-06-11","2026-06-04","PRD-04","43-517-60860-279"
"a0Qak00000ktChLEAU","false","a0Qak00000ktChLEAU","Injection","Drilling","Artificial Lift","84.45","7713.09","6071.68","Wolfcamp","2025-11-21","2026-01-22","2026-06-06","PRD-01","99-968-19514-280"
"a0Qak00000ktCfiEAE","false","a0Qak00000ktCfiEAE","Gas","Permitted","Flowing","66147.97","8013.51","5050.73","Spraberry","2024-07-27","2025-03-09","","PRD-07","94-131-72126-281"
"a0Qak00000ktCiHEAU","false","a0Qak00000ktCiHEAU","Injection","Permitted","Flowing","3084.42","4769.19","3052.84","Wolfcamp","2025-12-09","2026-02-04","","PRD-08","92-662-19587-284"
"a0Qak00000ktCiWEAU","false","a0Qak00000ktCiWEAU","Gas","Drilling","Flowing","987.09","7064.17","6591.15","Niobrara","2025-05-28","2026-05-28","2026-06-23","PRD-02","46-734-19149-285"
"a0Qak00000ktCgqEAE","false","a0Qak00000ktCgqEAE","Oil","Drilling","Flowing","22074.12","11455.52","7201.98","Haynesville","2025-03-09","2026-01-08","2026-06-24","PRD-05","90-178-19882-288"
"a0Qak00000ktCevEAE","false","a0Qak00000ktCevEAE","Injection","Permitted","Flowing","60742.86","10213.73","9094.07","Tuscaloosa","2024-10-13","2025-09-04","","PRD-03","58-769-59613-293"
"a0Qak00000ktCirEAE","false","a0Qak00000ktCirEAE","Water Disposal","Permitted","Flowing","2867.43","4127.9","3386.28","Bakken","2025-10-21","2026-02-03","","PRD-01","31-364-33597-297"
"a0Qak00000ktCiPEAU","false","a0Qak00000ktCiPEAU","Oil","Drilling","Flowing","4295.27","4982.87","4518.81","Woodford","2025-12-20","2026-04-25","2026-06-30","PRD-01","83-635-25444-303"
"a0Qak00000ktChcEAE","false","a0Qak00000ktChcEAE","Gas","Permitted","Artificial Lift","913.92","8223.09","7611.2","Marcellus","2025-10-13","2026-02-22","","PRD-04","40-993-44787-316"
"a0Qak00000ktChEEAU","false","a0Qak00000ktChEEAU","Injection","Permitted","Shut-In","4181.67","5492.19","4792.64","Eagle Ford","2025-08-31","2026-06-09","","PRD-01","79-143-73214-317"
"a0Qak00000ktCeVEAU","false","a0Qak00000ktCeVEAU","Water Disposal","Permitted","Artificial Lift","67922.39","12208.15","10760.64","Fayetteville","2024-08-02","2025-03-15","","PRD-04","28-919-29601-322"
"a0Qak00000ktCeiEAE","false","a0Qak00000ktCeiEAE","Oil","Drilling","Flowing","47473.86","14955.62","13419.48","Fayetteville","2024-05-24","2024-12-01","2026-06-05","PRD-08","48-356-83680-323"
"a0Qak00000ktCg8EAE","false","a0Qak00000ktCg8EAE","Injection","Drilling","Artificial Lift","76020.04","12478.95","9762.63","Barnett","2024-12-09","2025-04-03","2026-06-25","PRD-01","26-845-40753-328"
"a0Qak00000ktCc6EAE","false","a0Qak00000ktCc6EAE","Oil","Permitted","Artificial Lift","20204.21","6669.1","4241.9","Eagle Ford","2024-03-28","2025-02-01","","PRD-01","13-889-62037-329"
"a0Qak00000ktCd3EAE","false","a0Qak00000ktCd3EAE","Gas","Drilling","Flowing","39140.81","11969.35","7314.57","Eagle Ford","2025-11-05","2026-01-02","2026-06-22","PRD-07","19-656-71623-338"
"a0Qak00000ktCjHEAU","false","a0Qak00000ktCjHEAU","Oil","Permitted","Shut-In","4572.37","6881.64","4294.88","Permian Basin","2025-09-06","2026-03-06","","PRD-05","79-475-69517-346"
"a0Qak00000ktCc5EAE","false","a0Qak00000ktCc5EAE","Gas","Drilling","Flowing","55100.67","10290.21","8818.76","Tuscaloosa","2025-05-16","2025-07-24","2026-05-31","PRD-04","76-199-23267-351"
"a0Qak00000ktCiYEAU","false","a0Qak00000ktCiYEAU","Water Disposal","Drilling","Flowing","2630.96","4741.34","3882.51","Permian Basin","2025-03-29","2026-02-07","2026-06-17","PRD-02","91-690-56918-352"
"a0Qak00000ktCigEAE","false","a0Qak00000ktCigEAE","Injection","Drilling","Artificial Lift","520.51","8547.23","6773.58","Fayetteville","2025-12-15","2026-04-04","2026-06-13","PRD-08","55-422-82100-353"
"a0Qak00000ktCiZEAU","false","a0Qak00000ktCiZEAU","Oil","Permitted","Artificial Lift","4609.36","5340.73","4848.99","Woodford","2025-12-14","2026-03-15","","PRD-04","93-969-88944-359"
"a0Qak00000ktChlEAE","false","a0Qak00000ktChlEAE","Water Disposal","Drilling","Artificial Lift","270.64","6670.68","4747.93","Utica","2025-11-06","2026-05-22","2026-06-14","PRD-04","29-151-98294-360"
"a0Qak00000ktCfKEAU","false","a0Qak00000ktCfKEAU","Oil","Permitted","Artificial Lift","52391.57","5900.83","4432.57","Spraberry","2025-01-08","2025-04-23","","PRD-03","53-184-72371-361"
"a0Qak00000ktCiyEAE","false","a0Qak00000ktCiyEAE","Gas","Drilling","Flowing","1992.64","6041.44","5100.51","Spraberry","2025-08-23","2026-05-26","2026-06-13","PRD-04","72-504-95491-362"
"a0Qak00000ktChYEAU","false","a0Qak00000ktChYEAU","Water Disposal","Drilling","Shut-In","332.99","7622.61","6342.34","Monterey","2025-06-12","2026-01-12","2026-06-03","PRD-02","12-399-95119-368"
"a0Qak00000ktCgmEAE","false","a0Qak00000ktCgmEAE","Injection","Permitted","Shut-In","71363.39","9899.43","7065.36","Barnett","2025-01-16","2025-09-21","","PRD-07","15-722-59856-378"
"a0Qak00000ktCiOEAU","false","a0Qak00000ktCiOEAU","Gas","Permitted","Flowing","1014.26","7357.92","5066.58","Barnett","2025-05-13","2026-02-22","","PRD-01","87-605-41179-386"
"a0Qak00000ktCbyEAE","false","a0Qak00000ktCbyEAE","Injection","Permitted","Flowing","16559.14","11254.61","7217.29","Tuscaloosa","2024-11-20","2025-10-31","","PRD-07","62-146-53750-393"
"a0Qak00000ktCieEAE","false","a0Qak00000ktCieEAE","Gas","Drilling","Artificial Lift","3571.37","3748.87","2979.05","Eagle Ford","2025-06-15","2026-04-13","2026-06-16","PRD-07","85-523-41270-409"
"a0Qak00000ktCfxEAE","false","a0Qak00000ktCfxEAE","Water Disposal","Drilling","Flowing","42120.31","7884.71","7139.27","Permian Basin","2025-12-10","2026-01-14","2026-06-28","PRD-01","28-838-73792-417"
"a0Qak00000ktCfzEAE","false","a0Qak00000ktCfzEAE","Water Disposal","Permitted","Flowing","23919.32","13059.42","11767.24","Monterey","2024-01-17","2024-09-20","","PRD-03","68-621-65590-418"
"a0Qak00000ktCitEAE","false","a0Qak00000ktCitEAE","Injection","Permitted","Flowing","2123.86","3052.01","2363.34","Bone Spring","2025-07-18","2026-04-30","","PRD-05","62-659-85543-419"
"a0Qak00000ktCdqEAE","false","a0Qak00000ktCdqEAE","Gas","Drilling","Flowing","18992.15","9731.61","6414.86","Bakken","2024-01-31","2024-07-28","2026-06-05","PRD-01","46-596-20814-423"
"a0Qak00000ktCbaEAE","false","a0Qak00000ktCbaEAE","Water Disposal","Drilling","Flowing","25894.03","8987.45","6340.45","Bone Spring","2024-07-06","2024-12-02","2026-06-18","PRD-07","70-368-29025-427"
"a0Qak00000ktCbiEAE","false","a0Qak00000ktCbiEAE","Water Disposal","Permitted","Flowing","42753.92","14033.91","12201.9","Niobrara","2025-05-21","2025-09-10","","PRD-02","45-895-18177-433"
"a0Qak00000ktChuEAE","false","a0Qak00000ktChuEAE","Oil","Drilling","Flowing","360.17","8148.22","6283.2","Bakken","2025-03-20","2026-03-01","2026-06-29","PRD-04","99-764-27109-442"
"a0Qak00000ktChNEAU","false","a0Qak00000ktChNEAU","Gas","Permitted","Shut-In","3965.51","8349.6","6742.97","Niobrara","2026-03-14","2026-06-13","","PRD-05","28-875-64415-445"
"a0Qak00000ktCgKEAU","false","a0Qak00000ktCgKEAU","Gas","Drilling","Artificial Lift","53525.93","8259.72","5530.4","Wolfcamp","2025-02-05","2025-07-02","2026-06-06","PRD-02","51-333-22853-452"
"a0Qak00000ktCi1EAE","false","a0Qak00000ktCi1EAE","Water Disposal","Drilling","Shut-In","1877.66","4544.64","3475.95","Barnett","2025-10-06","2026-06-16","2026-06-26","PRD-04","88-565-33338-453"
"a0Qak00000ktCdVEAU","false","a0Qak00000ktCdVEAU","Oil","Drilling","Flowing","26128.09","8435.76","7678.59","Utica","2024-12-31","2025-12-22","2026-05-31","PRD-03","83-666-40107-455"
"a0Qak00000ktCiqEAE","false","a0Qak00000ktCiqEAE","Water Disposal","Permitted","Flowing","3238.2","3635.11","2791.49","Haynesville","2025-08-27","2026-05-19","","PRD-01","68-574-28169-459"
"a0Qak00000ktCi4EAE","false","a0Qak00000ktCi4EAE","Water Disposal","Permitted","Shut-In","3134.05","7927.31","4760.17","Wolfcamp","2025-10-27","2026-06-11","","PRD-06","77-133-48874-460"
"a0Qak00000ktCdEEAU","false","a0Qak00000ktCdEEAU","Injection","Drilling","Flowing","22599.63","14937.73","11966.37","Barnett","2025-01-31","2025-09-07","2026-06-25","PRD-04","81-824-14546-470"
"a0Qak00000ktCcdEAE","false","a0Qak00000ktCcdEAE","Gas","Drilling","Flowing","27090.42","8817.7","6999.96","Bakken","2024-08-31","2025-07-26","2026-06-21","PRD-08","81-857-70745-479"
"a0Qak00000ktCe7EAE","false","a0Qak00000ktCe7EAE","Water Disposal","Permitted","Artificial Lift","16848.77","12647.18","9770.8","Eagle Ford","2024-02-23","2024-09-25","","PRD-08","82-546-43804-481"
"a0Qak00000ktCbhEAE","false","a0Qak00000ktCbhEAE","Oil","Permitted","Flowing","35252.28","8625.69","7642.05","Monterey","2023-12-05","2024-09-27","","PRD-06","32-826-49935-487"
"a0Qak00000ktChOEAU","false","a0Qak00000ktChOEAU","Oil","Permitted","Artificial Lift","3772.75","8476.6","7815.72","Marcellus","2025-09-20","2026-01-30","","PRD-03","95-459-13835-490"
"a0Qak00000ktCdAEAU","false","a0Qak00000ktCdAEAU","Water Disposal","Permitted","Artificial Lift","73007.8","6687.23","4863.61","Marcellus","2025-02-07","2025-06-19","","PRD-07","25-338-65666-497"
"a0Qak00000ktCjMEAU","false","a0Qak00000ktCjMEAU","Water Disposal","Drilling","Flowing","1718.08","9017.71","7135.87","Spraberry","2025-10-14","2026-06-21","2026-06-02","PRD-02","59-560-51229-501"
"a0Qak00000ktChdEAE","false","a0Qak00000ktChdEAE","Oil","Permitted","Shut-In","1569.52","5085.85","3164.69","Woodford","2026-01-11","2026-03-28","","PRD-07","27-341-24671-516"
"a0Qak00000ktCj6EAE","false","a0Qak00000ktCj6EAE","Oil","Drilling","Shut-In","4101.21","8770.81","7406.68","Fayetteville","2025-11-15","2026-06-13","2026-06-17","PRD-06","68-811-13584-523"
"a0Qak00000ktChXEAU","false","a0Qak00000ktChXEAU","Gas","Drilling","Shut-In","3997.64","4390.65","3271.36","Permian Basin","2025-08-10","2026-03-21","2026-05-31","PRD-04","12-123-83207-526"
"a0Qak00000ktCgMEAU","false","a0Qak00000ktCgMEAU","Injection","Permitted","Flowing","28794.15","8834.95","6609.88","Utica","2025-07-06","2025-09-11","","PRD-02","81-160-16830-531"
"a0Qak00000ktCihEAE","false","a0Qak00000ktCihEAE","Injection","Permitted","Flowing","1837.28","4399.1","3325.3","Woodford","2025-09-14","2026-02-28","","PRD-07","21-874-65382-543"
"a0Qak00000ktCdvEAE","false","a0Qak00000ktCdvEAE","Oil","Drilling","Artificial Lift","44246.61","13078.34","9409.43","Monterey","2025-07-06","2025-11-21","2026-06-25","PRD-02","87-365-98265-548"
"a0Qak00000ktChGEAU","false","a0Qak00000ktChGEAU","Water Disposal","Permitted","Flowing","762.11","7918.19","7422.14","Barnett","2025-10-07","2026-06-24","","PRD-04","35-401-84636-552"
"a0Qak00000ktChyEAE","false","a0Qak00000ktChyEAE","Gas","Permitted","Shut-In","2085.69","6313.37","4881.35","Wolfcamp","2025-07-17","2026-04-02","","PRD-07","12-265-47750-555"
"a0Qak00000ktCjEEAU","false","a0Qak00000ktCjEEAU","Gas","Drilling","Flowing","2361.62","9796.59","6433.51","Marcellus","2026-02-03","2026-04-18","2026-06-09","PRD-08","26-277-36146-557"
"a0Qak00000ktChmEAE","false","a0Qak00000ktChmEAE","Gas","Drilling","Flowing","2079.92","9956.37","7031.97","Marcellus","2025-12-15","2026-02-07","2026-06-30","PRD-06","43-465-98726-558"
"a0Qak00000ktCdpEAE","false","a0Qak00000ktCdpEAE","Oil","Drilling","Artificial Lift","65056.17","10570.22","9658.13","Tuscaloosa","2024-01-16","2024-12-20","2026-06-09","PRD-02","16-548-69917-560"
"a0Qak00000ktCfgEAE","false","a0Qak00000ktCfgEAE","Gas","Permitted","Artificial Lift","54627.63","13583.87","8634.64","Fayetteville","2025-07-04","2026-04-19","","PRD-02","31-745-25474-561"
"a0Qak00000ktCeoEAE","false","a0Qak00000ktCeoEAE","Gas","Drilling","Artificial Lift","61900.82","8136.95","5862.31","Tuscaloosa","2024-10-22","2025-08-18","2026-06-11","PRD-03","99-513-68482-567"
"a0Qak00000ktChzEAE","false","a0Qak00000ktChzEAE","Gas","Drilling","Shut-In","3445.09","9634.74","8248.31","Woodford","2026-02-05","2026-05-19","2026-06-14","PRD-03","72-828-69993-574"
"a0Qak00000ktCfhEAE","false","a0Qak00000ktCfhEAE","Oil","Permitted","Flowing","49394.17","11944.71","9070.83","Bakken","2025-02-09","2025-12-22","","PRD-06","25-716-63558-575"
"a0Qak00000ktChDEAU","false","a0Qak00000ktChDEAU","Water Disposal","Drilling","Shut-In","1525.82","4984.38","3310.01","Bone Spring","2026-01-24","2026-02-24","2026-06-27","PRD-06","18-991-15856-577"
"a0Qak00000ktCj4EAE","false","a0Qak00000ktCj4EAE","Water Disposal","Permitted","Artificial Lift","446.57","7373.39","6033.32","Woodford","2025-09-11","2026-05-01","","PRD-06","79-146-97876-579"
"a0Qak00000ktCh1EAE","false","a0Qak00000ktCh1EAE","Gas","Drilling","Artificial Lift","71286.98","12072.09","9660.06","Spraberry","2024-09-05","2025-07-19","2026-06-10","PRD-02","92-672-21161-580"
"a0Qak00000ktCdbEAE","false","a0Qak00000ktCdbEAE","Gas","Drilling","Flowing","69644.47","7813.11","5129.27","Fayetteville","2024-08-28","2024-11-01","2026-06-21","PRD-02","60-815-26118-590"
"a0Qak00000ktCcfEAE","false","a0Qak00000ktCcfEAE","Injection","Drilling","Shut-In","72088.15","7108.5","5521.08","Spraberry","2024-12-17","2025-07-10","2026-06-10","PRD-05","67-379-42234-591"
"a0Qak00000ktCinEAE","false","a0Qak00000ktCinEAE","Oil","Drilling","Artificial Lift","3402.77","7964.38","5312.47","Tuscaloosa","2025-02-07","2026-01-23","2026-06-21","PRD-04","39-605-57579-595"
"a0Qak00000ktCcbEAE","false","a0Qak00000ktCcbEAE","Oil","Drilling","Artificial Lift","62378.43","7743.28","6943.27","Bakken","2023-09-08","2024-07-06","2026-06-11","PRD-05","97-673-69497-598"
"a0Qak00000ktCfaEAE","false","a0Qak00000ktCfaEAE","Water Disposal","Permitted","Artificial Lift","76299.82","5518.63","5124.41","Woodford","2024-10-22","2025-04-10","","PRD-02","97-630-71156-599"
