"sf__Id","sf__Error",Id,Well_Type__c,Status__c,Production_Status__c,Total_Oil_Volume_12M__c,Total_Depth__c,True_Vertical_Depth__c,Formation__c,Spud_Date__c,Completion_Date__c,Last_Production_Date__c,Regulatory_District__c,API_Number__c
"a0Qak00000ktCWcEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Shut-In".:--","a0Qak00000ktCWcEAM","Oil","Shut-In","Shut-In","14175.95","11936.08","9710.34","Wolfcamp","2022-10-26","2023-10-16","2025-10-06","PRD-05","93-518-25292-30"
"a0Qak00000ktCfVEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCfVEAU","Gas","Producing","Artificial Lift","72551.9","11549.22","10299.51","Utica","2024-10-18","2025-04-09","2026-06-29","PRD-06","37-554-68287-32"
"a0Qak00000ktCZhEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Shut-In".:--","a0Qak00000ktCZhEAM","Oil","Shut-In","Shut-In","9158.62","8256.29","7227.38","Marcellus","2022-03-19","2023-02-01","2026-02-15","PRD-02","80-312-86858-34"
"a0Qak00000ktCXNEA2","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCXNEA2","Oil","Producing","Flowing","5264.11","9770.65","8941.96","Bakken","2021-02-07","2021-05-22","2026-06-26","PRD-05","32-212-96646-35"
"a0Qak00000ktCYfEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Suspended".:--","a0Qak00000ktCYfEAM","Oil","Suspended","Artificial Lift","5694.51","17461.18","14075.43","Bakken","2022-02-03","2022-07-18","2026-06-29","PRD-03","63-638-24896-36"
"a0Qak00000ktCWQEA2","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Suspended".:--","a0Qak00000ktCWQEA2","Oil","Suspended","Shut-In","11781.25","14158.86","9035.74","Fayetteville","2021-01-26","2022-01-05","2026-06-29","PRD-05","68-758-14082-37"
"a0Qak00000ktCarEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCarEAE","Oil","Producing","Shut-In","6323.45","16233.17","12525.42","Monterey","2019-05-05","2019-07-11","2026-06-02","PRD-02","51-722-29442-38"
"a0Qak00000ktCfsEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCfsEAE","Gas","Producing","Flowing","56149.99","10483.56","7483.32","Utica","2024-06-07","2024-12-04","2026-06-16","PRD-07","22-912-24996-39"
"a0Qak00000ktCXvEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Shut-In".:--","a0Qak00000ktCXvEAM","Oil","Shut-In","Flowing","6500.3","17929.03","13259.51","Bone Spring","2022-11-29","2023-06-07","2025-10-25","PRD-06","95-361-59060-40"
"a0Qak00000ktCcPEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCcPEAU","Gas","Producing","Flowing","71784.48","14411.3","10780.05","Monterey","2025-10-14","2026-04-09","2026-06-11","PRD-05","55-206-85748-42"
"a0Qak00000ktCgrEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCgrEAE","Water Disposal","Producing","Artificial Lift","60075.63","5289.53","3679.63","Spraberry","2024-12-28","2025-07-19","2026-06-19","PRD-01","33-990-28776-44"
"a0Qak00000ktCXfEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCXfEAM","Oil","Producing","Shut-In","14591.25","9101.09","7150.44","Woodford","2019-01-27","2019-10-16","2026-06-20","PRD-03","57-419-52517-45"
"a0Qak00000ktCg9EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCg9EAE","Oil","Producing","Flowing","48302.51","8451.73","5399.06","Wolfcamp","2023-08-08","2024-07-06","2026-06-15","PRD-05","15-325-61807-47"
"a0Qak00000ktCZ9EAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCZ9EAM","Oil","Producing","Artificial Lift","3562.89","9646.82","6650.82","Niobrara","2023-01-23","2023-02-25","2026-06-15","PRD-07","32-232-59834-48"
"a0Qak00000ktCh8EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCh8EAE","Water Disposal","Producing","Flowing","51317.03","11680.48","8456.18","Woodford","2025-08-08","2026-04-18","2026-06-30","PRD-08","19-982-51033-49"
"a0Qak00000ktCfIEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCfIEAU","Gas","Producing","Artificial Lift","42150.11","6151.73","3735.94","Niobrara","2024-12-26","2025-12-07","2026-06-16","PRD-06","21-547-23875-50"
"a0Qak00000ktCdFEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCdFEAU","Injection","Producing","Flowing","20112.06","13705.24","11800.65","Marcellus","2025-02-28","2025-06-24","2026-06-28","PRD-02","77-622-35415-51"
"a0Qak00000ktCbbEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCbbEAE","Water Disposal","Producing","Shut-In","56953.79","6476.9","4119.19","Haynesville","2025-07-15","2025-11-10","2026-06-11","PRD-03","93-177-33218-52"
"a0Qak00000ktCWHEA2","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Shut-In".:--","a0Qak00000ktCWHEA2","Oil","Shut-In","Shut-In","8902.29","16173.6","14697.22","Wolfcamp","2016-06-01","2017-05-16","2025-12-17","PRD-06","29-550-18950-53"
"a0Qak00000ktCdJEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCdJEAU","Oil","Producing","Artificial Lift","66761.43","10914.2","7892.93","Eagle Ford","2024-10-25","2025-07-18","2026-06-16","PRD-01","17-477-47627-54"
"a0Qak00000ktCfLEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCfLEAU","Gas","Producing","Shut-In","20869.27","10940.8","8036.77","Utica","2024-09-20","2024-11-10","2026-06-16","PRD-04","51-719-72341-55"
"a0Qak00000ktCWTEA2","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Plugged".:--","a0Qak00000ktCWTEA2","Oil","Plugged","Shut-In","12259.02","18048.53","17034.83","Eagle Ford","2017-11-08","2018-11-03","2026-03-04","PRD-01","41-824-67377-56"
"a0Qak00000ktCgnEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCgnEAE","Injection","Producing","Flowing","40126.67","7519.96","6753.29","Monterey","2024-06-07","2024-09-21","2026-06-20","PRD-02","84-779-28537-58"
"a0Qak00000ktCWLEA2","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Shut-In".:--","a0Qak00000ktCWLEA2","Oil","Shut-In","Flowing","11212.23","16224.97","12724.23","Wolfcamp","2016-04-21","2016-12-23","2025-09-13","PRD-06","12-471-50483-60"
"a0Qak00000ktCYsEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCYsEAM","Oil","Producing","Artificial Lift","14241.19","13835.25","9398.15","Permian Basin","2022-07-28","2022-10-05","2026-06-21","PRD-02","74-889-80748-61"
"a0Qak00000ktCY9EAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Suspended".:--","a0Qak00000ktCY9EAM","Oil","Suspended","Flowing","1047.34","12041.17","10454.24","Permian Basin","2017-03-11","2017-10-19","2026-06-26","PRD-03","33-951-91885-62"
"a0Qak00000ktCjQEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCjQEAU","Injection","Producing","Flowing","2188.37","5876.01","4916.62","Marcellus","2025-03-31","2026-03-08","2026-06-21","PRD-08","39-646-41348-63"
"a0Qak00000ktCbCEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Plugged".:--","a0Qak00000ktCbCEAU","Oil","Plugged","Flowing","13607.63","10328.19","8648.9","Utica","2018-10-30","2019-07-23","2026-01-07","PRD-07","74-640-64874-64"
"a0Qak00000ktCWYEA2","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Plugged".:--","a0Qak00000ktCWYEA2","Oil","Plugged","Flowing","12118.26","9660.78","6641.8","Wolfcamp","2018-07-04","2019-02-09","2025-08-21","PRD-02","76-971-26341-65"
"a0Qak00000ktCYJEA2","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCYJEA2","Oil","Producing","Flowing","4455.47","18863.67","12291.04","Woodford","2023-01-29","2023-06-21","2026-06-04","PRD-08","54-127-64381-66"
"a0Qak00000ktCeAEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCeAEAU","Injection","Producing","Flowing","30325.57","14945.25","10928.26","Bakken","2025-04-20","2025-07-09","2026-06-04","PRD-06","28-240-15020-67"
"a0Qak00000ktCc2EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCc2EAE","Oil","Producing","Flowing","34574.83","5477.49","4091.35","Spraberry","2023-12-12","2024-09-01","2026-06-28","PRD-02","73-711-80261-69"
"a0Qak00000ktCb3EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Shut-In".:--","a0Qak00000ktCb3EAE","Oil","Shut-In","Shut-In","10918.89","11495.26","6903.45","Niobrara","2020-12-01","2021-10-19","2025-10-30","PRD-03","95-784-21221-70"
"a0Qak00000ktCdDEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCdDEAU","Injection","Producing","Flowing","76971.24","10440.82","9138.27","Fayetteville","2024-10-01","2024-11-10","2026-06-18","PRD-08","15-750-60709-71"
"a0Qak00000ktCe4EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCe4EAE","Injection","Producing","Flowing","66253.8","8448.02","7235.98","Wolfcamp","2025-03-24","2026-02-14","2026-06-07","PRD-06","27-145-56176-72"
"a0Qak00000ktCX9EAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Suspended".:--","a0Qak00000ktCX9EAM","Oil","Suspended","Flowing","5076.14","11720.91","8666.19","Tuscaloosa","2017-08-30","2018-05-29","2026-06-22","PRD-01","92-295-47501-74"
"a0Qak00000ktCe6EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCe6EAE","Water Disposal","Producing","Artificial Lift","71276.89","8319.25","5353.99","Niobrara","2024-07-19","2025-03-10","2026-06-07","PRD-08","59-447-34486-75"
"a0Qak00000ktCeWEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCeWEAU","Oil","Producing","Flowing","66823.91","7667.21","4822.02","Woodford","2025-07-05","2026-03-12","2026-06-11","PRD-03","79-400-52101-76"
"a0Qak00000ktCakEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCakEAE","Oil","Producing","Shut-In","4944.19","15231.46","11410.51","Bone Spring","2018-12-12","2019-07-09","2026-06-16","PRD-01","55-729-67008-77"
"a0Qak00000ktCXyEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCXyEAM","Oil","Producing","Abandoned","14244.61","8900.49","7326.25","Niobrara","2018-06-10","2018-09-29","2026-05-31","PRD-01","28-969-89635-78"
"a0Qak00000ktCeXEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCeXEAU","Injection","Producing","Flowing","23204.95","7359.95","6077.9","Niobrara","2024-06-18","2025-05-04","2026-06-29","PRD-03","96-560-58623-79"
"a0Qak00000ktCa7EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Shut-In".:--","a0Qak00000ktCa7EAE","Oil","Shut-In","Artificial Lift","2496.58","12403.4","8806.85","Haynesville","2021-06-16","2021-09-12","2026-05-18","PRD-03","73-630-60723-80"
"a0Qak00000ktCZ5EAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCZ5EAM","Oil","Producing","Shut-In","14960.3","17726.16","16638.6","Niobrara","2016-06-10","2017-01-03","2026-06-08","PRD-02","80-655-48058-82"
"a0Qak00000ktCadEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Suspended".:--","a0Qak00000ktCadEAE","Oil","Suspended","Flowing","10821.23","19127.89","15745.98","Spraberry","2019-08-26","2020-06-11","2026-06-23","PRD-02","35-911-28202-83"
"a0Qak00000ktCcwEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCcwEAE","Water Disposal","Producing","Flowing","38458.27","10722.77","8187.82","Fayetteville","2025-02-10","2026-01-19","2026-06-02","PRD-02","18-416-62187-84"
"a0Qak00000ktCYHEA2","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Shut-In".:--","a0Qak00000ktCYHEA2","Oil","Shut-In","Flowing","12438.42","8885.01","8354.87","Wolfcamp","2022-12-15","2023-09-01","2025-10-05","PRD-06","26-999-82260-85"
"a0Qak00000ktCW1EAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Shut-In".:--","a0Qak00000ktCW1EAM","Oil","Shut-In","Artificial Lift","14510.84","13191.42","12119.61","Bakken","2022-04-19","2023-02-08","2026-03-14","PRD-05","31-265-52291-86"
"a0Qak00000ktCeYEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCeYEAU","Water Disposal","Producing","Artificial Lift","42078.14","11389.91","8819.36","Wolfcamp","2024-05-25","2024-11-19","2026-06-10","PRD-05","71-350-99783-89"
"a0Qak00000ktCiiEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCiiEAE","Injection","Producing","Flowing","1852.7","6931.56","4933.13","Barnett","2025-12-14","2026-05-29","2026-06-16","PRD-04","28-199-16632-91"
"a0Qak00000ktCcCEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCcCEAU","Water Disposal","Producing","Flowing","72352.07","11542.6","8826.69","Fayetteville","2026-02-27","2026-05-23","2026-06-17","PRD-03","43-844-57943-94"
"a0Qak00000ktCgLEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCgLEAU","Oil","Producing","Flowing","52068.31","6946.55","5512.98","Eagle Ford","2024-07-17","2025-05-01","2026-06-16","PRD-05","89-796-90090-95"
"a0Qak00000ktCgOEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCgOEAU","Oil","Producing","Flowing","39257.89","14867.88","11823.55","Niobrara","2025-08-26","2026-01-04","2026-06-11","PRD-07","74-141-15938-96"
"a0Qak00000ktCdnEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCdnEAE","Injection","Producing","Flowing","45793.37","9569.89","7772.58","Fayetteville","2025-06-25","2026-01-08","2026-06-01","PRD-06","30-502-90805-97"
"a0Qak00000ktCbnEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCbnEAE","Oil","Producing","Flowing","48131.42","9898.47","7889.31","Barnett","2025-10-08","2026-05-14","2026-06-20","PRD-02","63-697-50327-98"
"a0Qak00000ktCbvEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCbvEAE","Water Disposal","Producing","Flowing","57613.41","14720.57","11812.76","Marcellus","2025-05-16","2026-04-09","2026-06-15","PRD-03","77-744-91230-99"
"a0Qak00000ktCWOEA2","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCWOEA2","Oil","Producing","Shut-In","957.77","19378.46","12372.44","Bakken","2019-01-12","2019-07-21","2026-06-17","PRD-03","62-807-36724-100"
"a0Qak00000ktCdoEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCdoEAE","Water Disposal","Producing","Artificial Lift","74833.86","13728.18","11772.51","Bakken","2025-03-21","2026-01-10","2026-06-24","PRD-06","94-589-78875-101"
"a0Qak00000ktCXJEA2","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCXJEA2","Oil","Producing","Artificial Lift","13725.8","12107.92","8766.14","Spraberry","2015-11-18","2016-11-11","2026-06-05","PRD-05","88-595-35200-102"
"a0Qak00000ktCaHEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Plugged".:--","a0Qak00000ktCaHEAU","Oil","Plugged","Artificial Lift","4828.24","19297.83","18213.12","Spraberry","2020-11-19","2021-04-04","2025-09-23","PRD-06","71-457-83464-103"
"a0Qak00000ktCW2EAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Plugged".:--","a0Qak00000ktCW2EAM","Oil","Plugged","Flowing","4465.13","9462.49","7918.38","Woodford","2019-07-05","2020-01-27","2026-03-18","PRD-05","15-394-20358-104"
"a0Qak00000ktCa9EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCa9EAE","Oil","Producing","Artificial Lift","4218.44","13748.95","9221.75","Fayetteville","2020-08-03","2021-06-16","2026-06-08","PRD-05","27-211-90698-105"
"a0Qak00000ktCapEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Suspended".:--","a0Qak00000ktCapEAE","Oil","Suspended","Artificial Lift","1236.1","18862.21","12807.16","Marcellus","2023-09-08","2023-11-28","2026-06-17","PRD-06","70-202-99285-106"
"a0Qak00000ktCWhEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Suspended".:--","a0Qak00000ktCWhEAM","Oil","Suspended","Artificial Lift","8480.11","19149.2","14216.7","Monterey","2018-05-31","2019-03-01","2026-06-10","PRD-04","46-428-47409-107"
"a0Qak00000ktCYLEA2","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCYLEA2","Oil","Producing","Shut-In","13148.21","11473.6","7034.62","Haynesville","2017-03-15","2018-02-16","2026-06-27","PRD-06","46-565-94058-109"
